CurveName,NPV,Duration,Convexity
PIECEWISE_ZERO_LINEAR:FLAT_FORWARD,1091660.207190,10.718957,175.154779
PIECEWISE_ZERO_LINEAR:CONSTANT_FORWARD,1092562.525807,10.746082,176.664619
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_FORWARD,1092111.640856,10.734440,176.087273
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_FORWARD,1091769.211618,10.722158,175.330123
PIECEWISE_ZERO_LINEAR:FLAT_ZERO,1092930.129766,10.751639,176.871452
PIECEWISE_ZERO_LINEAR:CONSTANT_ZERO,1092541.106372,10.742148,176.412372
PIECEWISE_ZERO_LINEAR:LINEARLY_GRADED_ZERO,1092728.825499,10.745885,176.564150
PIECEWISE_ZERO_LINEAR:ROLLING_AVERAGE_ZERO,1093284.458359,10.760148,177.279421
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_FORWARD,1091141.750310,10.728487,175.611413
PIECEWISE_DISCOUNT_LOGLINEAR:CONSTANT_FORWARD,1091883.453964,10.750835,176.857330
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_FORWARD,1091515.073256,10.741319,176.385322
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_FORWARD,1091141.750310,10.728487,175.611413
PIECEWISE_DISCOUNT_LOGLINEAR:FLAT_ZERO,1092213.156796,10.754830,177.029833
PIECEWISE_DISCOUNT_LOGLINEAR:CONSTANT_ZERO,1091787.748500,10.744446,176.527478
PIECEWISE_DISCOUNT_LOGLINEAR:LINEARLY_GRADED_ZERO,1091992.963654,10.748533,176.693489
PIECEWISE_DISCOUNT_LOGLINEAR:ROLLING_AVERAGE_ZERO,1092536.844884,10.762601,177.402242
PIECEWISE_ZERO_CUBIC:FLAT_FORWARD,1090498.825415,10.704596,174.427213
PIECEWISE_ZERO_CUBIC:CONSTANT_FORWARD,1091895.866290,10.746380,176.742038
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_FORWARD,1091184.559973,10.728007,175.831201
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_FORWARD,1090881.673531,10.715701,175.029438
PIECEWISE_ZERO_CUBIC:FLAT_ZERO,1092485.361885,10.751659,176.942441
PIECEWISE_ZERO_CUBIC:CONSTANT_ZERO,1092091.024414,10.742035,176.476916
PIECEWISE_ZERO_CUBIC:LINEARLY_GRADED_ZERO,1092281.299535,10.745824,176.630812
PIECEWISE_ZERO_CUBIC:ROLLING_AVERAGE_ZERO,1092977.531282,10.763506,177.511175
FITTED_NELSON_SIEGEL:FLAT_FORWARD,1096072.933421,10.747111,174.305568
FITTED_NELSON_SIEGEL:CONSTANT_FORWARD,1097468.677801,10.788554,176.603158
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_FORWARD,1096756.154661,10.770272,175.695408
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_FORWARD,1096211.205748,10.751096,174.521789
FITTED_NELSON_SIEGEL:FLAT_ZERO,1097729.778600,10.786366,176.418789
FITTED_NELSON_SIEGEL:CONSTANT_ZERO,1098644.970888,10.808495,177.489076
FITTED_NELSON_SIEGEL:LINEARLY_GRADED_ZERO,1098198.512751,10.799675,177.130077
FITTED_NELSON_SIEGEL:ROLLING_AVERAGE_ZERO,1098200.254122,10.797555,176.954260
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_FORWARD,1093586.999896,10.792222,179.160538
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_FORWARD,1092347.591051,10.754079,176.995599
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_FORWARD,1092920.745484,10.768889,177.730905
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_FORWARD,1093188.941211,10.780020,178.468067
FITTED_NELSON_SIEGEL_SVENSSON:FLAT_ZERO,1092869.779166,10.760490,177.283334
FITTED_NELSON_SIEGEL_SVENSSON:CONSTANT_ZERO,1092019.735264,10.739736,176.278719
FITTED_NELSON_SIEGEL_SVENSSON:LINEARLY_GRADED_ZERO,1092428.380216,10.747872,176.609185
FITTED_NELSON_SIEGEL_SVENSSON:ROLLING_AVERAGE_ZERO,1092584.435751,10.753615,176.953023
FITTED_EXPONENTIAL_SPLINES:FLAT_FORWARD,1095844.102972,10.749205,174.691703
FITTED_EXPONENTIAL_SPLINES:CONSTANT_FORWARD,1096819.766643,10.778350,176.314014
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_FORWARD,1096329.975801,10.765768,175.689222
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_FORWARD,1095788.937029,10.747588,174.602915
FITTED_EXPONENTIAL_SPLINES:FLAT_ZERO,1097088.141041,10.776183,176.128597
FITTED_EXPONENTIAL_SPLINES:CONSTANT_ZERO,1097998.431896,10.798215,177.194035
FITTED_EXPONENTIAL_SPLINES:LINEARLY_GRADED_ZERO,1097554.383450,10.789433,176.836646
FITTED_EXPONENTIAL_SPLINES:ROLLING_AVERAGE_ZERO,1097442.903894,10.784618,176.531861
